Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,reviewer_nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,10/10/2016,9.4,Intercontinental London The O2, United Kingdom ,45,4204,33,1,9.2,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ']",297 day,51.5024348,-0.0002497, I know I left my high speed charger in the room I called three times for someone to get back to me The third person did however it was gone Spa Not very theraputic as kids were splashing and screaming in the pool   Very comfy beds Warm welcome and helpful staff Happy and friendly staff concierge cleaners and reception Spa modern clean steam sauna and pool Best location for o2 and surroundings Food excellent 
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,3/9/2016,8.1,Strand Palace Hotel, United Kingdom ,2,9568,10,17,7.5,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",512 day,51.5110993,-0.1208673, Nothing  Perfect location for theatres and Covent Garden restaurants 
Van Leijenberghlaan 221 Zuideramstel 1082 GG Amsterdam Netherlands,148,7/28/2016,7.8,NH Amsterdam Zuid, Australia ,0,1245,18,3,8.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",371 day,52.3266672,4.8800884,No Negative  The staff were very welcoming since I was travelling on my own Breakfast was delicious food 
Gran V a De Les Corts Catalanes 570 Eixample 08011 Barcelona Spain,325,7/10/2017,8.2,Sunotel Central, Israel ,0,3870,8,19,9.6,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 3 nights ']",24 days,41.3841429,2.1616896,No Negative  the welcome coffe capsules and the location
Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/21/2017,8.4,Hampton by Hilton Amsterdam Centre East, Singapore ,0,1769,7,9,9.6,"[' Business trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 1 night ']",13 days,52.3714428,4.9346331,No Negative  Friendly staff comfort bed good location
Carburton Street Westminster Borough London W1W 5EE United Kingdom,542,9/4/2016,8.2,Holiday Inn London Regent s Park, Italy ,6,2266,3,24,8.3,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",333 day,51.5222472,-0.1426128, Somewhat oldfashioned Very small bathroom  Good lunch
Via Pietro Orseolo 1 Navigli 20144 Milan Italy,58,8/9/2015,8.3,Hotel Mercure Milano Solari, United States of America ,109,918,43,1,7.9,"[' Leisure trip ', ' Couple ', ' Standard Room with 1 Kingsize Bed ', ' Stayed 3 nights ']",725 day,45.4565757,9.1684824, My husband and I were beginning our honeymoon here and requested an early check in to relax as we had just gotten off the plane The receptionist told us that it was not possible but we had been able to request the option so that was confusing and we would have to wait until at least 1pm We returned at 1pm and she then changed her answer and said not until 2pm And it was not until the strike of 2pm that we were allowed in our room In the future do not offer an early check in option if you are not able to provide one   The hotel is very close 3 blocks to a subway stations which train line is very convenient to get to all of the major sites of Venice But it is far enough out of the center to be tranquil Great location 
5 rue de Berri 8th arr 75008 Paris France,329,6/9/2017,8.1,Warwick Paris Former Warwick Champs Elysees , United Arab Emirates ,0,1813,6,17,7.9,"[' Leisure trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",55 days,48.8722019,2.3030866,No Negative  Great location and comfort hotel
Molenwerf 1 1014 AG Amsterdam Netherlands,914,2/18/2017,8.5,Golden Tulip Amsterdam West, United Kingdom ,83,7586,18,6,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",166 day,52.385601,4.8470597, Overall a great hotel A couple of minor criticisms The breakfast is slightly overpriced but that being said it has a wide variety of choice and tastes great We noticed that someone had crudely drawn a massive penis in biro in the elevator we found this highly amusing but the old lady who joined us in the elevator wasn t too impressed I think More attention to the elevator cleanliness as there was also litter on the floor and grubby mirrors   Clean and comfortable Room serviced daily to a high standard Not too far from city centre 
45 Prescot Street City of London London E1 8GP United Kingdom,531,1/30/2017,8.7,Grange Tower Bridge Hotel, United Kingdom ,12,1668,10,4,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",185 day,51.5115509,-0.0714919, I am not a fan of height and lifts were glass  Rooms were well proportioned and fitted out really nicely
20 Lavington Street Southwark London SE1 0NZ United Kingdom,804,4/11/2017,9.1,citizenM London Bankside, Taiwan ,0,3802,6,3,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",114 day,51.5051507,-0.1004724,No Negative  The bed is massive 
150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,3/5/2017,8.4,DoubleTree by Hilton London Hyde Park, United Kingdom ,0,2405,16,7,9.2,"[' Leisure trip ', ' Family with young children ', ' King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",151 day,51.5100362,-0.190657,No Negative  Location was spot on for the Royal Albert Hall and walks through the parks 
De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,514,7/18/2016,8.9,Jaz Amsterdam, Israel ,3,7108,6,7,9.6,"[' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",381 day,52.314371,4.9388064, eggs vegatables  Coffy Bathroom TV Bad staff
Overhoeksplein 7 Amsterdam Noord 1031 KS Amsterdam Netherlands,48,5/15/2017,9.0,Sir Adam Hotel, Saudi Arabia ,16,361,17,3,8.8,"[' Leisure trip ', ' Group ', ' Superior King Room ', ' Stayed 8 nights ']",80 days,52.3840358,4.9028572, Very loud music at night in ground and first flour during weekends and special holidays  All Staff at the reception were of assistance around the clock Rub Sandra special appreciation 
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,11/14/2016,8.3,Park Plaza London Riverbank, United Kingdom ,26,4684,20,10,9.6,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",262 day,51.4913737,-0.1214194, Shame there is a building site next door where work starts early but that is out of their control and I was informed when booking  Excellent Staff v knowledgeable of the area and local restaurants Very friendly and made me feel welcome straight away
Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands,404,6/30/2016,8.4,Boutique Hotel Notting Hill, United Kingdom ,41,2085,0,2,5.8,"[' Leisure trip ', ' Group ', ' Souterrain Double Room ', ' Stayed 1 night ']",399 day,52.3583821,4.8988777, Despite request for twin beds we found two single beds pressed together and when I reported this was told I could rearrange the furniture I don t expect to have to move bedside tables and beds around the room  No Positive
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/19/2016,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,43,3826,3,1,7.9,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']",562 day,51.5043483,-0.0334436, We were left standing at the bar and other customers came after but got served first and we were due to check out at 12midday but the maid knocked and came in our room at 11 then again at 11 40   The rooms
St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,11/7/2016,8.6,The Tower A Guoman Hotel, United Kingdom ,0,3486,45,1,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Bridge View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",269 day,51.5064721,-0.0716893,No Negative  The reception staff were really good The room had a fantastic view of Tower Bridge It was a trip for my partners birthday and the lady on reception kindly arranged free breakfast for us a most welcome surprise Overall a really good stay 
12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,3/13/2017,8.9,Arbor City, Ireland ,2,2197,3,53,9.2,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ']",143 day,51.5166755,-0.0697897, Nothing  Great location
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,10/10/2016,9.4,Intercontinental London The O2, United Kingdom ,0,4204,3,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with River View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",297 day,51.5024348,-0.0002497,No Negative  Rooms beautiful
Cardington Street Euston Camden London NW1 2LP United Kingdom,744,11/19/2015,8.3,Thistle Euston, New Zealand ,4,2474,0,1,5.8,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",623 day,51.5291423,-0.1372782, Bathroom was filthy No Positive
Whitcomb Street Trafalgar Square Westminster Borough London WC2H 7HG United Kingdom,266,11/3/2015,8.4,Thistle Trafalgar Square The Royal Trafalgar, United Kingdom ,28,1193,11,53,5.0,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 3 nights ']",639 day,51.509133,-0.130189, The bathroom was tiny the hotel lacked in any facilities to relax and was basically more or less a Travel Lodge with a hefty price tag   The location was great just where we wanted to stay
Kleine Stadtgutgasse 4 02 Leopoldstadt 1020 Vienna Austria,122,7/12/2016,8.8,Der Wilhelmshof, United Kingdom ,8,1793,9,1,8.3,"[' Leisure trip ', ' Family with older children ', ' Classic Quadruple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",387 day,48.2185837,16.3881339, Better air conditioning in the room   The breakfast was excellent Staff were helpful 
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,12/19/2015,6.7,Commodore Hotel, United Kingdom ,3,2400,2,1,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",593 day,51.5124496,-0.1795215, Shower curtain  Location
Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,419,9/10/2015,8.4,Catalonia Barcelona Plaza, Sri Lanka ,0,4527,13,5,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",693 day,41.3750293,2.1491172,No Negative  The location was awesome The staff and facilities were great too 
108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,341,3/15/2016,8.2,Park Plaza Sherlock Holmes London, United Kingdom ,28,1496,22,3,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",506 day,51.5209191,-0.1566567, They rooms were small There wasn t any plug sockets near any mirrors so was difficult to see when doing hair using straightens and hair dryer   Very good location hotel was clean and staff were always happy to help Will definitely be using this hotel again 
Richmond Way Hammersmith and Fulham London W14 0AX United Kingdom,509,4/22/2017,8.4,K West Hotel Spa, United Kingdom ,25,1560,35,7,7.9,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",103 day,51.5013149,-0.2174459, Hallway carpet needs to be replaced not a good first impression Our room didn t smell very nice at all when we arrived   The bed was very comfy It was my fianc s birthday and they had put balloons and a lovely happy birthday plate with macaroon and chocolate brownie in our room White company products 
Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,1/21/2017,8.4,DoubleTree by Hilton Amsterdam Centraal Station, Oman ,2,3911,12,8,9.6,"[' Leisure trip ', ' Couple ', ' Executive Suite with View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",194 day,52.376752,4.904618, Nothing  The location is excellent and the property is new and great
Boquer a 10 Ciutat Vella 08002 Barcelona Spain,392,2/14/2016,8.5,Petit Palace Boqueria Garden, United Kingdom ,13,3602,13,18,10.0,"[' Business trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 4 nights ']",536 day,41.3812223,2.1739622, Perhaps a mirror in bedroom and small soap shelf in shower   Comfortable and central location Outside area despite the city centre location 
Via Giorgio Stephenson 55 20157 Milan Italy,127,5/1/2017,8.1,Barcel Milan, Colombia ,5,3228,16,4,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",94 days,45.51152,9.1241306, The sink was clogged  The rooms are big and nice the hotel is quite apart from public transportation 
Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,10/1/2016,8.1,Copthorne Tara Hotel London Kensington, United Kingdom ,0,7105,57,8,10.0,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",306 day,51.499046,-0.1917073,No Negative  Great location near the royal Albert Hall for our David Gilmour gig late bar which was good for after the gig and reasonable priced drinks hotel was clean and comfortable the staff were friendly and polite buffet breakfast was good would definitely stop there again great value for money plus taxi rank outside was handy 
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,989,3/24/2017,8.4,Park Grand London Kensington, United Kingdom ,0,4660,26,1,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",132 day,51.4938468,-0.1917582,No Negative  Very friendly helpful staff Clean comfortable A great oasis just away form the busy Earls Court Road and very close to the underground station 
49 Gloucester Place Marble Arch Westminster Borough London W1U 8JE United Kingdom,61,6/9/2016,7.4,St George Hotel, United Kingdom ,9,334,0,4,5.4,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",420 day,51.5182768,-0.1583511, Bed pillows uncomfortable No bar lounge area  No Positive
3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,232,8/6/2016,8.5,Novotel London Paddington, Saudi Arabia ,16,1187,9,9,5.8,"[' Leisure trip ', ' Couple ', ' Executive Double Room with Double Bed and Sofa Bed ', ' Stayed 8 nights ']",362 day,51.519032,-0.1825943, noisy ice in the room is charged the location is moderate cleaning is moderate   the bed is comfortable reception personnel is supportive
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,7/12/2017,8.3,Park Plaza London Riverbank, United States of America ,16,4684,18,1,10.0,"[' Leisure trip ', ' Travelers with friends ', ' Superior Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",22 days,51.4913737,-0.1214194, We lost power the morning we were leaving so it was hard to get readp  Out of the hustle and bustle but a quick walk to underground or Westminster bridge and waterloo
43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,540,11/1/2015,8.9,St George s Hotel Wembley, United Kingdom ,34,2274,9,1,7.1,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",641 day,51.5553678,-0.2864945, The fire alarm went off 4 times in the morning due to an error and had to change rooms 3 times because of an awful smell and one room has someone already in  The location to the station and wemberly arena
68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,514,12/1/2015,8.2,Radisson Blu Edwardian Vanderbilt, United Kingdom ,17,2665,8,2,6.3,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 1 night ']",611 day,51.4953691,-0.1818966, Some of the staff were very inexperienced However the bar staff were incompetent and rude   Good Facilities clean and comfortable room 
Josep Pla 69 Sant Mart 08019 Barcelona Spain,228,7/17/2017,8.5,Vincci Bit, Malta ,44,2848,49,31,8.8,"[' Leisure trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 4 nights ']",17 days,41.4114188,2.211756, if you want to be close to the beach this hotel is situated really close to the beaches but if you want to go to the city centre around the Ramble area you need to walk 40 minutes or catch a cab   The room was spacious and very clean The bed was comfortable and wifi was great Coffee in the room was available Bathroom was very clean Roof terrace was great pool also available Lunch and dinner on the terrace was very good Department stores and restaurants close by 
Pallars 128 130 Sant Mart 08018 Barcelona Spain,252,11/25/2015,7.9,Sall s Hotel Pere IV, Ireland ,14,3130,5,2,7.5,"[' Leisure trip ', ' Couple ', ' Double or Twin Room with Spa Access ', ' Stayed 3 nights ']",617 day,41.3969273,2.192267, the breakfast is too expensive for 13 euro should be max 10 euro  the pool and loction
39 40 Dorset Square Hotel Westminster Borough London NW1 6QN United Kingdom,61,2/26/2016,9.0,Dorset Square Hotel, Pakistan ,7,263,5,7,9.6,"[' Leisure trip ', ' Couple ', ' Superior Single Room ', ' Stayed 1 night ']",524 day,51.5226361,-0.1602871, The rooms are a bit small  The food is exceptional
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,7/14/2016,8.2,Ramada Apollo Amsterdam Centre, United Arab Emirates ,0,5770,4,3,10.0,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 4 nights ']",385 day,52.3681299,4.8440847,No Negative  Great staff 
Paral lel 115 Sants Montju c 08004 Barcelona Spain,110,5/8/2016,8.2,Silken Concordia, Netherlands ,11,1034,64,6,9.6,"[' Leisure trip ', ' Family with older children ', ' Deluxe Twin Room ', ' Stayed 4 nights ']",452 day,41.3747873,2.1611846, We did not take breakfast as it is quite expensive  Friendly personell very helpfull Room was clean and comfortable tt is easy to navigate to other places as the hotel is located on a main road It is possible to walk to the center and the beach 20 30 min or take the subway which is very close to the hotel My son enjoyed jumping in the small pool on the roof 
Strand Westminster Borough London WC2R 0EU United Kingdom,315,4/12/2016,9.4,The Savoy, United Kingdom ,0,1021,11,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ']",478 day,51.5111922,-0.1194006,No Negative  Everything was brilliant Everything was beyond our expectations EVERYTHING 
19 Rue Des Pretres Saint Germain L Auxerrois 1st arr 75001 Paris France,50,9/3/2015,8.9,Relais Du Louvre, United Kingdom ,0,406,8,1,10.0,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 3 nights ']",700 day,48.8592264,2.340996,No Negative  cute clean top location no hastle whatsoever
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,10/15/2015,8.0,Doubletree by Hilton London Kensington, Germany ,32,2367,34,1,8.3,"[' Business trip ', ' Solo traveler ', ' Club Deluxe Room ', ' Stayed 3 nights ']",658 day,51.4925138,-0.1787917, Curtains not properly fitting so too much light in the room also at night No plug for shaver or e toothbrush in the bathroom An uninteresting Bar and Restaurant area   A very quiet and well fitted room at the rear of the building Good brealfast at very reasonable prices No unneccesary frills Short walk to South Ken or Gloucester Road Tube stations 
83 avenue Kl ber 16th arr 75016 Paris France,190,7/21/2016,9.0,La Clef Tour Eiffel, Australia ,13,1258,14,15,9.2,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 2 nights ']",378 day,48.8647019,2.2886425, Room is not completely dark as the curtain is bit short   Great position Close to Eiffel Tower and metro station Very clean room 
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,1/26/2016,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,15,3826,3,13,7.5,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",555 day,51.5043483,-0.0334436, toilet flush did not work properly this was repaired after we informed Reception   Everything else
Fulham Road Stamford Bridge Hammersmith and Fulham London SW6 1HS United Kingdom,525,2/21/2016,8.2,Millennium Copthorne Hotels at Chelsea Football Club, United Kingdom ,53,1842,7,1,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",529 day,51.481663,-0.1909565, When heating was left on or shower had been used there was a loud rattling above light by door loud enough to wake you Phone did not work Staff upon making reservation misadvised me and were extremely rude Manager was very helpful at resolving problems I think her name was Janel   Bed comfortable good location good managers
Sant Pau 9 11 Ciutat Vella 08001 Barcelona Spain,293,8/24/2015,8.7,Hotel Espa a Ramblas, Canada ,18,1908,8,1,8.3,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",710 day,41.3799209,2.1728181, Bathroom facilities shower in some of the rooms Water runs onto the floors made it slippery   Good location Staff very helpful friendly 
1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,3/22/2016,8.4,Park Plaza County Hall London, United Kingdom ,11,6117,26,1,9.2,"[' Family with young children ', ' Studio Double Family ', ' Stayed 1 night ', ' Submitted from a mobile device ']",499 day,51.5014001,-0.1160092, Well it s London so parking is a drag   Convenient to local attractions and a family visit Good sized suite which the kids loved and great bathroom with walkin rain shower and large bath
Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,9/21/2016,8.1,Copthorne Tara Hotel London Kensington, Australia ,34,7105,4,9,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",316 day,51.499046,-0.1917073, Overpriced bar barman was clueless about the drinks available had to show him how to make a scotch and coke and got a 1 60 service charge for my trouble Not impressed   Good bed 
Viale Sarca 336 Bicocca Zara 20125 Milan Italy,563,9/14/2015,8.3,Hotel degli Arcimboldi, Italy ,14,10842,7,23,7.5,"[' Business trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",689 day,45.5257221,9.2150033, Viale Sarca is not a good street Room is a little small   Great breakfast and modern room 
22 Portman Square Westminster Borough London W1H 7BG United Kingdom,597,4/21/2016,7.9,Radisson Blu Portman Hotel London, United Kingdom ,2,2308,2,6,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",469 day,51.5161911,-0.1579487, Breakfast  Location
24 rue de Ponthieu 8th arr 75008 Paris France,203,4/5/2016,8.1,H tel Beauchamps, United Kingdom ,19,1463,23,1,9.2,"[' Leisure trip ', ' Solo traveler ', ' Classic Room ', ' Stayed 2 nights ']",485 day,48.87096,2.3091617, Would ve been nice to have a bath in the room or even a sauna room etc   The food room and facilities in general were very good for the weekend break Staff in particular were excellent and friendly 
Via Albricci 2 4 Milan City Center 20122 Milan Italy,493,4/12/2016,9.0,The Square Milano Duomo, Saudi Arabia ,31,4192,24,5,7.9,"[' Leisure trip ', ' Solo traveler ', ' Executive Double or Twin Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",478 day,45.4608604,9.1890215, breakfast is very limited and repeated there was maintenance going on in my floor infront of my room it was annoying walls are thin you can hear everything OVERPRICED   Location is good everything is close by on foot the rooms are modern clean and have a nice view staff is friendly 
12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,5/31/2017,8.9,Arbor City, Australia ,0,2197,2,1,9.2,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 4 nights ']",64 days,51.5166755,-0.0697897,No Negative  location
Half Moon Street Westminster Borough London W1J 7BH United Kingdom,289,10/16/2016,8.7,Flemings Mayfair, United Kingdom ,23,1161,28,1,9.2,"[' Leisure trip ', ' Couple ', ' Room Selected at Check In ', ' Stayed 1 night ']",291 day,51.5064607,-0.1454198, Very hard to find fault if i was being really picky i d say the room temperature was slightly to high   Ormer Mayfair is definitely a place to visit if love food Class place all round from the staff to the location to the decor and food 
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,2/13/2017,8.6,Dorsett Shepherds Bush, United Kingdom ,22,2890,6,9,7.9,"[' Leisure trip ', ' Family with young children ', ' Dorsett Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",171 day,51.5039399,-0.2244232, Being next to the service lift the staff don t remember to sshhh when guests are likely to be sleeping   Comfy beds very clean 
Westside Wimbledon Common Wimbledon London SW19 4UE United Kingdom,153,5/3/2017,8.4,Hotel du Vin Cannizaro House Wimbledon, United Arab Emirates ,25,476,5,15,7.5,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",92 days,51.4242413,-0.2293503, Only problem was there was lots of light coming into the room from the hallway as the door was shorter than the door frame  Bed was very comfy
Rossello 191 Eixample 08036 Barcelona Spain,37,1/29/2017,8.2,Evenia Rossello, Russia ,7,690,7,2,6.7,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with Extra Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",186 day,41.3920254,2.1554675, Hotel looks very old and tired  Great location Parking in the basement
Via Manin 7 Milan City Center 20121 Milan Italy,175,3/30/2017,8.4,Hotel Manin, Italy ,0,1757,17,171,8.8,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",126 day,45.4739801,9.1960671,No Negative  Great location close to the fashion district and facing one of the nicests parks in town
Via Senigallia 6 20161 Milan Italy,904,10/5/2015,8.1,Hotel Da Vinci, China ,20,16670,10,12,7.5,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",668 day,45.5331372,9.1711019, Really hard to find Even the GPS can not lead to the right place No shopping facilities nearby   good packing area Big and clean room Nice breakfast
52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,2/11/2016,8.8,The Montcalm At Brewery London City, United Kingdom ,89,2617,16,1,9.2,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ']",539 day,51.5208155,-0.0915319, I am afraid that the breakfast room which was at the back of the pub it was connected to didn t live up to my expectations of the actual hotel The staff on the Sunday morning were not in correct attire for a 5 star hotel and the room was over crowded with some guests having to wait for a seat or take hot plates of food up and down the stairs to an overflow seating area It is a shame that this let my stay down   Hotel staff very polite and changed my room to one with a larger bed 
102 Bd De Grenelle 15th arr 75015 Paris France,241,1/3/2016,8.6,Le Parisis Paris Tour Eiffel, United Kingdom ,3,1477,5,1,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",578 day,48.8494851,2.2955063, Little expensive  The modern style room
380 Kensington High Street Kensington and Chelsea London W14 8NL United Kingdom,438,4/26/2016,7.4,Hilton London Olympia, United Kingdom ,22,1786,6,1,6.3,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ']",464 day,51.4967399,-0.2064723, location could be better not near any good pubs breakfast was cool plenty of choice though sausage was not good   room very nice staff freindly
68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,211,3/31/2016,9.3,Hotel Cafe Royal, China ,8,1128,5,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Grand Superior King or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",490 day,51.5100916,-0.1359431, the room is not bigger as imagined  location is great 
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,4/8/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom ,0,12158,12,12,9.2,"[' Leisure trip ', ' Family with young children ', ' Studio King Family ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",482 day,51.5009609,-0.1165913,No Negative  Everything are close to you London eye Big ben Thames river
Apollolaan 123 125 Oud Zuid 1077 AP Amsterdam Netherlands,181,12/21/2016,8.5,Apollofirst Boutique Hotel, United Kingdom ,6,1284,10,1,9.2,"[' Leisure trip ', ' Couple ', ' Comfort Twin Double Room ', ' Stayed 1 night ']",225 day,52.350396,4.8756404, Rooms were a little small  Staff was great and the hotel was quiet 
